saleID,saleDate,productID,productName,productCategory,productColor,productSize,quantity,unitPrice,costPrice,totalAmount,totalCost,customerID,customerName,location,locationLatitude,locationLongitude,salespersonID,salespersonName,status,salesChannel,profit,Date,Year,Month,Month Number
S00001,2023-09-01 21:43:00,P1000,Women's_000,Women's Dresses,Red,XXL,2,1572.76,1154.01,3145.52,2308.02,C20000,Vishal_0000,Tiruchirappalli,10.7905,78.7047,SP114,Ganesh,Pending,online,837.5,2023-09-01,2023,September,9
S00002,2023-03-06 15:20:00,P1001,Women's_001,Women's Dresses,Maroon,XS,1,247.34,220.37,247.34,220.37,C20001,Sathish_0001,Erode,11.34,77.7172,SP102,Kumar,Paid,online,26.97,2023-03-06,2023,March,3
S00003,2024-06-25 12:10:00,P1002,Women's_002,Women's Dresses,Black,S,2,1620.21,1269.43,3240.42,2538.86,C20002,Anu_0002,Chennai,13.0827,80.2707,SP135,Shankar,Pending,in-store,701.56,2024-06-25,2024,June,6
S00004,2023-01-05 10:31:00,P1003,Kurta_003,Kurta,Black,L,4,520.84,358.15,2083.36,1432.6,C20003,Sathish_0003,Salem,11.6643,78.146,SP100,Tamil,Pending,in-store,650.76,2023-01-05,2023,January,1
S00005,2023-08-27 15:47:00,P1004,Kurta_004,Kurta,Yellow,M,1,1079.66,966.26,1079.66,966.26,C20004,Kavin_0004,Tiruchirappalli,10.7905,78.7047,SP148,Jagan,Returned,in-store,113.4,2023-08-27,2023,August,8
S00006,2023-10-31 20:40:00,P1005,Women's_005,Women's Dresses,Blue,L,1,349.62,309.3,349.62,309.3,C20005,Diya_0005,Tirunelveli,8.7139,77.7567,SP122,Bharath,Cancelled,mobile_app,40.32,2023-10-31,2023,October,10
S00007,2024-09-19 19:18:00,P1006,T-Shirts_006,T-Shirts,Red,XXL,2,731.06,491.5,1462.12,983.0,C20006,Ravi_0006,Coimbatore,11.0168,76.9558,SP124,Rajesh,Paid,in-store,479.12,2024-09-19,2024,September,9
S00008,2024-03-20 17:49:00,P1007,T-Shirts_007,T-Shirts,Yellow,XL,1,2291.44,1552.76,2291.44,1552.76,C20007,Meena_0007,Coimbatore,11.0168,76.9558,SP102,Kumar,Pending,in-store,738.68,2024-03-20,2024,March,3
S00009,2024-03-06 13:31:00,P1008,T-Shirts_008,T-Shirts,Blue,S,1,1505.71,917.57,1505.71,917.57,C20008,Bhuvana_0008,Coimbatore,11.0168,76.9558,SP124,Rajesh,Returned,mobile_app,588.14,2024-03-06,2024,March,3
S00010,2024-07-01 15:23:00,P1009,Sportswear_009,Sportswear,Yellow,S,2,1575.17,1380.73,3150.34,2761.46,C20009,Karthik_0009,Tirunelveli,8.7139,77.7567,SP113,Ramesh,Returned,mobile_app,388.88,2024-07-01,2024,July,7
S00011,2023-02-27 12:02:00,P1010,Women's_010,Women's Dresses,Green,XL,2,1093.96,745.43,2187.92,1490.86,C20010,Devi_0010,Tiruchirappalli,10.7905,78.7047,SP110,Manoj,Shipped,in-store,697.06,2023-02-27,2023,February,2
S00012,2024-06-22 14:16:00,P1011,Kurta_011,Kurta,White,XXL,2,834.8,575.08,1669.6,1150.16,C20011,Devi_0011,Tiruchirappalli,10.7905,78.7047,SP143,Gokul,Returned,online,519.44,2024-06-22,2024,June,6
S00013,2023-04-18 10:25:00,P1012,Men's_012,Men's Shirts,Black,XS,1,657.05,395.32,657.05,395.32,C20012,Sanjay_0012,Tirunelveli,8.7139,77.7567,SP125,Saravanan,Returned,in-store,261.73,2023-04-18,2023,April,4
S00014,2024-06-14 18:43:00,P1013,Women's_013,Women's Dresses,Black,XL,1,1593.71,1399.1,1593.71,1399.1,C20013,Ganesh_0013,Tirunelveli,8.7139,77.7567,SP113,Ramesh,Shipped,in-store,194.61,2024-06-14,2024,June,6
S00015,2024-02-28 20:51:00,P1014,Kurta_014,Kurta,Grey,S,2,961.07,594.97,1922.14,1189.94,C20014,Vishal_0014,Madurai,9.9252,78.1198,SP115,Santosh,Cancelled,in-store,732.2,2024-02-28,2024,February,2
S00016,2023-07-22 13:43:00,P1015,T-Shirts_015,T-Shirts,Pink,XL,3,2240.59,1661.77,6721.77,4985.31,C20015,Priya_0015,Tirunelveli,8.7139,77.7567,SP114,Ganesh,Pending,in-store,1736.46,2023-07-22,2023,July,7
S00017,2023-03-19 18:45:00,P1016,Sportswear_016,Sportswear,Blue,XS,1,742.77,502.72,742.77,502.72,C20016,Bhuvana_0016,Coimbatore,11.0168,76.9558,SP109,Ajay,Pending,in-store,240.05,2023-03-19,2023,March,3
S00018,2023-01-27 18:06:00,P1017,Kurta_017,Kurta,Blue,L,2,448.15,273.12,896.3,546.24,C20017,Priya_0017,Vellore,12.9165,79.1325,SP133,Balaji,Returned,in-store,350.06,2023-01-27,2023,January,1
S00019,2024-02-18 13:30:00,P1018,Men's_018,Men's Shirts,Blue,XXL,3,520.46,406.65,1561.38,1219.95,C20018,Ganesh_0018,Salem,11.6643,78.146,SP149,Hari,Returned,mobile_app,341.43,2024-02-18,2024,February,2
S00020,2023-12-17 12:56:00,P1019,Women's_019,Women's Dresses,White,L,4,866.43,561.76,3465.72,2247.04,C20019,Kavin_0019,Vellore,12.9165,79.1325,SP100,Tamil,Returned,in-store,1218.68,2023-12-17,2023,December,12
